Date,Time,Result,Score,Confidence
2026-03-29,14:48:33,NON-COMPLIANT,0.9317,86.33%
2026-03-29,14:49:52,COMPLIANT,0.1367,72.67%
2026-03-29,14:51:01,COMPLIANT,0.1391,72.17%
2026-03-29,14:54:04,NON-COMPLIANT,0.9992,99.83%
2026-03-29,14:54:09,NON-COMPLIANT,0.9930,98.60%
2026-03-29,14:54:14,NON-COMPLIANT,0.6549,30.97%
2026-03-29,14:54:19,NON-COMPLIANT,0.9815,96.29%
2026-03-29,14:54:24,NON-COMPLIANT,0.7425,48.50%
2026-03-29,14:55:03,NON-COMPLIANT,0.9806,96.12%
2026-03-29,14:55:08,NON-COMPLIANT,0.8884,77.69%
2026-03-29,14:55:13,NON-COMPLIANT,0.8706,74.13%
2026-03-29,14:55:18,NON-COMPLIANT,0.9819,96.38%
2026-03-29,14:55:23,NON-COMPLIANT,0.9544,90.88%
2026-03-29,14:55:28,NON-COMPLIANT,0.8603,72.06%
2026-03-29,14:55:33,COMPLIANT,0.0131,97.39%
2026-03-29,14:55:38,NON-COMPLIANT,0.5180,3.60%
2026-03-29,14:55:43,COMPLIANT,0.2493,50.15%
2026-03-29,14:55:48,COMPLIANT,0.1923,61.54%
2026-03-29,14:55:53,NON-COMPLIANT,0.8364,67.29%
2026-03-29,14:55:58,NON-COMPLIANT,0.8766,75.33%
2026-03-29,14:56:03,COMPLIANT,0.2433,51.34%
2026-03-29,14:56:08,NON-COMPLIANT,0.5525,10.51%
2026-03-29,14:56:13,COMPLIANT,0.1576,68.48%
2026-03-29,14:58:17,NON-COMPLIANT,0.9968,99.35%
2026-03-29,14:58:23,NON-COMPLIANT,0.9498,89.95%
2026-03-29,14:58:28,NON-COMPLIANT,0.9996,99.92%
2026-03-29,14:58:30,NON-COMPLIANT,0.9994,99.89%
2026-03-29,14:58:32,NON-COMPLIANT,0.9973,99.45%
2026-03-29,15:00:17,NON-COMPLIANT,0.9997,99.94%
2026-03-29,15:01:08,COMPLIANT,0.0387,92.25%
2026-03-29,15:01:17,COMPLIANT,0.1277,74.45%
2026-03-29,15:03:37,COMPLIANT,0.4452,10.96%
2026-03-29,15:03:55,NON-COMPLIANT,0.5592,11.84%
2026-03-29,15:04:09,NON-COMPLIANT,0.6478,29.55%
2026-03-29,15:05:44,NON-COMPLIANT,0.9982,99.65%
2026-03-29,15:06:02,COMPLIANT,0.0258,94.83%
2026-03-29,15:06:20,COMPLIANT,0.0094,98.12%
2026-03-29,15:06:32,COMPLIANT,1.0000,99.99%
2026-03-29,15:06:42,NON-COMPLIANT,1.0000,100.00%
2026-03-29,15:08:08,NON-COMPLIANT,0.9990,99.79%
2026-03-29,15:08:29,COMPLIANT,0.0006,99.88%
2026-03-29,15:08:45,NON-COMPLIANT,0.9998,99.96%
2026-03-29,15:11:13,NON-COMPLIANT,1.0000,100.00%
2026-03-29,15:11:27,NON-COMPLIANT,0.9975,99.50%
2026-03-29,15:11:42,COMPLIANT,0.4907,1.85%
2026-03-29,15:11:58,NON-COMPLIANT,0.6857,37.13%
2026-03-29,15:12:16,NON-COMPLIANT,0.5976,19.53%
2026-03-29,15:12:36,COMPLIANT,0.1840,63.20%
